,Question,Option A,Option B,Option C,Option D,Right Answer,Explanation
268,"17. A taxpayer sold a rental property for $250,000 that had an adjusted cost base of $200,000. What is the capital gain?","$50,000 ","$25,000 ","$75,000 ","$100,000 ",A,"The capital gain is calculated as $250,000 - $200,000 = $50,000. Reference: ITA Section 40(1)(a).  "
269,"18. A business has $5,000 in accrued wages at year-end. How should these be treated for tax purposes?",Deduct in current year,Deduct in next year,Split between current and next year,Not deductible,A,Accrued wages are deductible in the year they are incurred. Reference: ITA Section 18(1)(a).  
270,"19. A corporation has an un-depreciated capital cost (UCC) balance of $80,000 for Class 10 assets. If it sells an asset for $20,000, what is the new UCC balance?","$60,000 ","$100,000 ","$80,000 ","$70,000 ",A,"The new UCC balance is calculated as $80,000 - $20,000 = $60,000. Reference: ITA Section 13(21).  "
271,"20. An individual received $1,500 in dividends from a Canadian corporation. What is the grossed-up amount to be included in income?","$2,070 ","$1,725 ","$1,875 ","$1,500 ",A,"The grossed-up amount is $1,500 * 1.38 = $2,070. Reference: ITA Section 82(1)(b).  "
272,"21. A shareholder received a benefit of $3,000 from the corporation. How should this be reported?",As a dividend,As a capital gain,As employment income,As other income,D,Shareholder benefits are reported as other income. Reference: ITA Section 15(1).  
273,"22. A taxpayer has a capital loss of $7,000 in 2023. How can this loss be applied?",Carry back 3 years,Carry forward 10 years,Carry back 1 year,Carry forward 5 years,A,Capital losses can be carried back 3 years. Reference: ITA Section 111(1)(b).  
274,"23. A business incurred $2,500 in prepaid insurance for the next year. How should this be treated for tax purposes in the current year?",Deduct in current year,Deduct in next year,Split between current and next year,Not deductible,B,"Prepaid expenses are deductible in the year they relate to, which is the next year. Reference: ITA Section 18(9).  "
275,"24. A taxpayer sold shares for $40,000 that were originally purchased for $30,000. What is the capital gain?","$10,000 ","$5,000 ","$15,000 ","$20,000 ",A,"The capital gain is calculated as $40,000 - $30,000 = $10,000. Reference: ITA Section 38(a).  "
276,"25. A corporation paid $6,000 in interest on a loan used to purchase a rental property. Is this interest deductible?","Yes, fully deductible","No, not deductible",Partially deductible,Deductible over 5 years,A,Interest on a loan used to purchase a rental property is fully deductible. Reference: ITA Section 20(1)(c).  
277,26. An employee received a taxable benefit of $400 for personal use of a company laptop. How should this be reported?,As a dividend,As a capital gain,As employment income,As other income,C,Taxable benefits are reported as employment income. Reference: ITA Section 6(1)(a).  
278,"27. A taxpayer received $3,000 in interest income from a Canadian bank. How should this be reported?",As a dividend,As a capital gain,As interest income,As other income,C,Interest income is reported as interest income. Reference: ITA Section 12(1)(c).  
279,"28. A business incurred $2,000 in advertising expenses. Are these expenses deductible?","Yes, fully deductible","No, not deductible",Partially deductible,Deductible over 5 years,A,Advertising expenses are fully deductible. Reference: ITA Section 18(1)(a).  
280,"29. A corporation paid $5,000 in legal fees to defend a patent. Are these fees deductible?","Yes, fully deductible","No, not deductible",Partially deductible,Deductible over 5 years,A,Legal fees incurred to defend a patent are fully deductible. Reference: ITA Section 18(1)(a).  
281,30. An employee received a taxable benefit of $600 for personal use of a company car. How should this be reported?,As a dividend,As a capital gain,As employment income,As other income,C,Taxable benefits are reported as employment income. Reference: ITA Section 6(1)(a).  
282,"31. A taxpayer sold a rental property for $300,000 that had an adjusted cost base of $250,000. What is the capital gain?","$50,000 ","$25,000 ","$75,000 ","$100,000 ",A,"The capital gain is calculated as $300,000 - $250,000 = $50,000. Reference: ITA Section 40(1)(a).  "
283,"32. A business has $6,000 in accrued wages at year-end. How should these be treated for tax purposes?",Deduct in current year,Deduct in next year,Split between current and next year,Not deductible,A,Accrued wages are deductible in the year they are incurred. Reference: ITA Section 18(1)(a).  
284,"33. A corporation has an un-depreciated capital cost (UCC) balance of $90,000 for Class 10 assets. If it sells an asset for $30,000, what is the new UCC balance?","$60,000 ","$120,000 ","$90,000 ","$70,000 ",A,"The new UCC balance is calculated as $90,000 - $30,000 = $60,000. Reference: ITA Section 13(21).  "
285,"34. An individual received $2,000 in dividends from a Canadian corporation. What is the grossed-up amount to be included in income?","$2,760 ","$2,300 ","$2,500 ","$2,000 ",A,"The grossed-up amount is $2,000 * 1.38 = $2,760. Reference: ITA Section 82(1)(b).  "
286,"35. A shareholder received a benefit of $4,000 from the corporation. How should this be reported?",As a dividend,As a capital gain,As employment income,As other income,D,Shareholder benefits are reported as other income. Reference: ITA Section 15(1).  
287,"36. A taxpayer has a capital loss of $8,000 in 2023. How can this loss be applied?",Carry back 3 years,Carry forward 10 years,Carry back 1 year,Carry forward 5 years,A,Capital losses can be carried back 3 years. Reference: ITA Section 111(1)(b).  
288,"37. A business incurred $3,000 in prepaid insurance for the next year. How should this be treated for tax purposes in the current year?",Deduct in current year,Deduct in next year,Split between current and next year,Not deductible,B,"Prepaid expenses are deductible in the year they relate to, which is the next year. Reference: ITA Section 18(9).  "
289,"38. A taxpayer sold shares for $50,000 that were originally purchased for $35,000. What is the capital gain?","$15,000 ","$7,500 ","$20,000 ","$25,000 ",A,"The capital gain is calculated as $50,000 - $35,000 = $15,000. Reference: ITA Section 38(a).  "
290,"39. A corporation paid $7,000 in interest on a loan used to purchase a rental property. Is this interest deductible?","Yes, fully deductible","No, not deductible",Partially deductible,Deductible over 5 years,A,Interest on a loan used to purchase a rental property is fully deductible. Reference: ITA Section 20(1)(c).  
291,40. An employee received a taxable benefit of $700 for personal use of a company laptop. How should this be reported?,As a dividend,As a capital gain,As employment income,As other income,C,Taxable benefits are reported as employment income. Reference: ITA Section 6(1)(a).  
292,"41. A taxpayer received $4,000 in interest income from a Canadian bank. How should this be reported?",As a dividend,As a capital gain,As interest income,As other income,C,Interest income is reported as interest income. Reference: ITA Section 12(1)(c).  
293,"42. A business incurred $3,500 in advertising expenses. Are these expenses deductible?","Yes, fully deductible","No, not deductible",Partially deductible,Deductible over 5 years,A,Advertising expenses are fully deductible. Reference: ITA Section 18(1)(a).  
294,"43. A corporation paid $8,000 in legal fees to defend a trademark. Are these fees deductible?","Yes, fully deductible","No, not deductible",Partially deductible,Deductible over 5 years,A,Legal fees incurred to defend a trademark are fully deductible. Reference: ITA Section 18(1)(a).  
295,44. An employee received a taxable benefit of $800 for personal use of a company car. How should this be reported?,As a dividend,As a capital gain,As employment income,As other income,C,Taxable benefits are reported as employment income. Reference: ITA Section 6(1)(a).  
296,"45. A taxpayer sold a rental property for $350,000 that had an adjusted cost base of $300,000. What is the capital gain?","$50,000 ","$25,000 ","$75,000 ","$100,000 ",A,"The capital gain is calculated as $350,000 - $300,000 = $50,000. Reference: ITA Section 40(1)(a).  "
297,"46. A business has $7,000 in accrued wages at year-end. How should these be treated for tax purposes?",Deduct in current year,Deduct in next year,Split between current and next year,Not deductible,A,Accrued wages are deductible in the year they are incurred. Reference: ITA Section 18(1)(a).  
298,"47. A corporation has an un-depreciated capital cost (UCC) balance of $100,000 for Class 10 assets. If it sells an asset for $40,000, what is the new UCC balance?","$60,000 ","$140,000 ","$100,000 ","$70,000 ",A,"The new UCC balance is calculated as $100,000 - $40,000 = $60,000. Reference: ITA Section 13(21).  "
299,"48. An individual received $2,500 in dividends from a Canadian corporation. What is the grossed-up amount to be included in income?","$3,450 ","$2,875 ","$3,125 ","$2,500 ",A,"The grossed-up amount is $2,500 * 1.38 = $3,450. Reference: ITA Section 82(1)(b).  "
300,"49. A shareholder received a benefit of $5,000 from the corporation. How should this be reported?",As a dividend,As a capital gain,As employment income,As other income,D,Shareholder benefits are reported as other income. Reference: ITA Section 15(1).  
301,"50. A taxpayer has a capital loss of $9,000 in 2023. How can this loss be applied?",Carry back 3 years,Carry forward 10 years,Carry back 1 year,Carry forward 5 years,A,Capital losses can be carried back 3 years. Reference: ITA Section 111(1)(b).  
302,"51. A business incurred $4,000 in prepaid insurance for the next year. How should this be treated for tax purposes in the current year?",Deduct in current year,Deduct in next year,Split between current and next year,Not deductible,B,"Prepaid expenses are deductible in the year they relate to, which is the next year. Reference: ITA Section 18(9).  "
303,"52. A taxpayer sold shares for $60,000 that were originally purchased for $45,000. What is the capital gain?","$15,000 ","$7,500 ","$20,000 ","$25,000 ",A,"The capital gain is calculated as $60,000 - $45,000 = $15,000. Reference: ITA Section 38(a).  "
304,"53. A corporation paid $9,000 in interest on a loan used to purchase a rental property. Is this interest deductible?","Yes, fully deductible","No, not deductible",Partially deductible,Deductible over 5 years,A,Interest on a loan used to purchase a rental property is fully deductible. Reference: ITA Section 20(1)(c).  
305,54. An employee received a taxable benefit of $900 for personal use of a company laptop. How should this be reported?,As a dividend,As a capital gain,As employment income,As other income,C,Taxable benefits are reported as employment income. Reference: ITA Section 6(1)(a).  
306,"55. A taxpayer received $5,000 in interest income from a Canadian bank. How should this be reported?",As a dividend,As a capital gain,As interest income,As other income,C,Interest income is reported as interest income. Reference: ITA Section 12(1)(c).  
307,"56. A business incurred $4,500 in advertising expenses. Are these expenses deductible?","Yes, fully deductible","No, not deductible",Partially deductible,Deductible over 5 years,A,Advertising expenses are fully deductible. Reference: ITA Section 18(1)(a).  
308,"57. A corporation paid $10,000 in legal fees to defend a copyright. Are these fees deductible?","Yes, fully deductible","No, not deductible",Partially deductible,Deductible over 5 years,A,Legal fees incurred to defend a copyright are fully deductible. Reference: ITA Section 18(1)(a).  
309,"58. An employee received a taxable benefit of $1,000 for personal use of a company car. How should this be reported?",As a dividend,As a capital gain,As employment income,As other income,C,Taxable benefits are reported as employment income. Reference: ITA Section 6(1)(a).  
310,"59. A taxpayer sold a rental property for $400,000 that had an adjusted cost base of $350,000. What is the capital gain?","$50,000 ","$25,000 ","$75,000 ","$100,000 ",A,"The capital gain is calculated as $400,000 - $350,000 = $50,000. Reference: ITA Section 40(1)(a).  "
311,"60. A business has $8,000 in accrued wages at year-end. How should these be treated for tax purposes?",Deduct in current year,Deduct in next year,Split between current and next year,Not deductible,A,Accrued wages are deductible in the year they are incurred. Reference: ITA Section 18(1)(a).  
312,"61. A corporation has an un-depreciated capital cost (UCC) balance of $110,000 for Class 10 assets. If it sells an asset for $50,000, what is the new UCC balance?","$60,000 ","$160,000 ","$110,000 ","$70,000 ",A,"The new UCC balance is calculated as $110,000 - $50,000 = $60,000. Reference: ITA Section 13(21).  "
313,"62. An individual received $3,000 in dividends from a Canadian corporation. What is the grossed-up amount to be included in income?","$4,140 ","$3,450 ","$3,750 ","$3,000 ",A,"The grossed-up amount is $3,000 * 1.38 = $4,140. Reference: ITA Section 82(1)(b).  "
314,"63. A shareholder received a benefit of $6,000 from the corporation. How should this be reported?",As a dividend,As a capital gain,As employment income,As other income,D,Shareholder benefits are reported as other income. Reference: ITA Section 15(1).  
315,"64. A taxpayer has a capital loss of $10,000 in 2023. How can this loss be applied?",Carry back 3 years,Carry forward 10 years,Carry back 1 year,Carry forward 5 years,A,Capital losses can be carried back 3 years. Reference: ITA Section 111(1)(b).  
316,"65. A business incurred $5,000 in prepaid insurance for the next year. How should this be treated for tax purposes in the current year?",Deduct in current year,Deduct in next year,Split between current and next year,Not deductible,B,"Prepaid expenses are deductible in the year they relate to, which is the next year. Reference: ITA Section 18(9).  "
317,"66. A taxpayer sold shares for $70,000 that were originally purchased for $50,000. What is the capital gain?","$20,000 ","$10,000 ","$25,000 ","$30,000 ",A,"The capital gain is calculated as $70,000 - $50,000 = $20,000. Reference: ITA Section 38(a).  "
318,"67. A corporation paid $11,000 in interest on a loan used to purchase a rental property. Is this interest deductible?","Yes, fully deductible","No, not deductible",Partially deductible,Deductible over 5 years,A,Interest on a loan used to purchase a rental property is fully deductible. Reference: ITA Section 20(1)(c).  
319,"68. An employee received a taxable benefit of $1,100 for personal use of a company laptop. How should this be reported?",As a dividend,As,,,,
320,Which section of the Income Tax Act deals with the inclusion of cash bonuses in income?,Section 12.1,Section 13,Section 15,Section 17,A,"Section 12.1 of the Income Tax Act specifies that cash bonuses must be included in income (output_chunk_1.pdf, doc4).  "
321,"When calculating the Un-depreciated Capital Cost (UCC) balance, which of the following is subtracted from the opening UCC?",Capital gains,Depreciation expense,CCA claimed,Recaptured depreciation,C,"CCA (Capital Cost Allowance) claimed during the year is subtracted from the opening UCC balance to calculate the closing UCC (output_chunk_1.pdf, doc4).  "
322,Under which section can shareholders of non-resident corporations be taxed on dividends received?,Section 94,Section 12,Section 104,Section 180,A,"Section 94 of the Income Tax Act deals with the taxation of shareholders of non-resident corporations on dividends received (output_chunk_2.pdf, doc2).  "
323,What is the maximum period for which capital losses can be carried forward to offset capital gains?,5 years,10 years,20 years,Indefinitely,C,"Capital losses can be carried forward for up to 20 years to offset capital gains (output_chunk_2.pdf, doc3).  "
324,Which section of the Income Tax Act specifies the rules for the valuation of inventory?,Section 9,Section 10,Section 11,Section 12,B,"Section 10 of the Income Tax Act specifies the rules for the valuation of inventory (output_chunk_1.pdf, doc4).  "
325,What is the treatment of accrued expenses for tax purposes?,They are deductible when paid,They are deductible when accrued,They are not deductible,They are deductible when incurred,B,"Accrued expenses are generally deductible when accrued, as they represent an expense incurred in the period (output_chunk_1.pdf, doc4).  "
326,Which section covers the tax implications of benefits conferred on shareholders?,Section 13,Section 15,Section 16,Section 17,B,"Section 15 of the Income Tax Act covers the tax implications of benefits conferred on shareholders (output_chunk_1.pdf, doc4).  "
327,What is the tax treatment of a bonus paid to an employee but not yet received by the employee?,Not taxable,Taxable when received,Taxable when paid,Taxable when accrued,D,"A bonus is taxable when it is accrued, not necessarily when it is paid or received (output_chunk_1.pdf, doc4).  "
328,Under which circumstances can a capital loss be carried back to previous tax years?,When a gain is realized in the current year,When there is no income in the current year,To offset capital gains in any of the previous 3 years,To offset any type of income in the previous 3 years,C,"Capital losses can be carried back to offset capital gains in any of the previous 3 years (output_chunk_2.pdf, doc3).  "
329,"Which section of the Income Tax Act defines the term ""income from office or employment""?",Section 5,Section 6,Section 7,Section 8,A,"Section 5 of the Income Tax Act defines ""income from office or employment"" (output_chunk_1.pdf, doc4).  "
330,Under which section of the Income Tax Act are taxable benefits to employees included in income?,Section 5,Section 6,Section 7,Section 8,B,"Section 6 of the Income Tax Act specifies that taxable benefits to employees must be included in income (output_chunk_2.pdf, doc2).  "
331,What is the tax treatment of prepaid expenses?,They are deductible when paid,They are not deductible,They are deductible when incurred,They are deductible when utilized,D,"Prepaid expenses are deductible when they are utilized, not when they are paid or incurred (output_chunk_1.pdf, doc2).  "
332,Which section of the Income Tax Act deals with the taxation of non-resident shareholders?,Section 92,Section 93,Section 94,Section 95,C,"Section 94 of the Income Tax Act deals with the taxation of non-resident shareholders (output_chunk_2.pdf, doc3).  "
333,How are dividends received by a Canadian corporation from a non-resident corporation taxed?,Fully taxable,Exempt from tax,50% taxable,Subject to a withholding tax,D,"Dividends received by a Canadian corporation from a non-resident corporation are subject to a withholding tax (output_chunk_2.pdf, doc3).  "
334,What is the treatment of capital gains realized on the sale of depreciable property?,Fully taxable,50% taxable,Not taxable,Subject to recapture of CCA,B,"Capital gains realized on the sale of depreciable property are 50% taxable, but they may also be subject to recapture of CCA (output_chunk_2.pdf, doc3).  "
335,Which section of the Income Tax Act specifies the rules for the deduction of business expenses?,Section 9,Section 10,Section 11,Section 12,A,"Section 9 of the Income Tax Act specifies the rules for the deduction of business expenses (output_chunk_1.pdf, doc2).  "
336,What is the treatment of unreported income discovered during an audit?,Not taxable,Taxable in the year discovered,Taxable in the year earned,Taxable when received,C,"Unreported income discovered during an audit is taxable in the year it was earned, not when it was discovered or received (output_chunk_1.pdf, doc2).  "
337,Which section of the Income Tax Act deals with the capital cost allowance (CCA)?,Section 18,Section 19,Section 20,Section 21,C,"Section 20 of the Income Tax Act deals with the capital cost allowance (CCA) (output_chunk_1.pdf, doc2).  "
338,What is the maximum period for which capital losses can be carried back?,1 year,2 years,3 years,5 years,C,"Capital losses can be carried back for up to 3 years to offset capital gains (output_chunk_2.pdf, doc3).  "
339,"Which section of the Income Tax Act defines the term ""income from a business""?",Section 8,Section 9,Section 10,Section 11,B,"Section 9 of the Income Tax Act defines ""income from a business"" (output_chunk_1.pdf, doc2).  "
340,Which section of the Income Tax Act deals with the computation of income for tax purposes?,Section 2,Section 3,Section 4,Section 5,B,"Section 3 of the Income Tax Act deals with the computation of income for tax purposes (output_chunk_1.pdf, doc3).  "
341,What is the tax treatment of stock option benefits deferred under Part I.01?,They are taxed when granted,They are taxed when exercised,They are taxed when deferred,They are never taxed,C,"Stock option benefits deferred under Part I.01 are taxed when the deferral ends (output_chunk_1.pdf, doc1).  "
342,Under which section can taxpayers elect to defer tax on stock option benefits?,Section 180,Section 180.01,Section 180.1,Section 180.2,B,"Section 180.01 of the Income Tax Act allows taxpayers to elect to defer tax on stock option benefits (output_chunk_1.pdf, doc1).  "
343,What is the tax treatment of old age security benefits under Part I.2?,Fully taxable,Exempt from tax,50% taxable,Subject to a clawback,A,"Old age security benefits under Part I.2 are fully taxable (output_chunk_1.pdf, doc1).  "
344,"Which section of the Income Tax Act defines ""taxable capital employed in Canada"" for large corporations?",Section 181,Section 181.1,Section 181.2,Section 181.3,C,"Section 181.2 of the Income Tax Act defines ""taxable capital employed in Canada"" for large corporations (output_chunk_1.pdf, doc1).  "
345,What is the treatment of a business expense that is not reasonable in the circumstances?,Deductible in full,50% deductible,Not deductible,Deferred to the next year,C,"A business expense that is not reasonable in the circumstances is not deductible (output_chunk_2.pdf, doc2).  "
346,Which section of the Income Tax Act specifies the rules for the inclusion of amounts in income from office or employment?,Section 5,Section 6,Section 7,Section 8,B,"Section 6 of the Income Tax Act specifies the rules for the inclusion of amounts in income from office or employment (output_chunk_1.pdf, doc3).  "
347,What is the tax treatment of a capital loss realized on the sale of shares?,Can be used to offset any income,Can only be used to offset capital gains,Can be used to offset business income,Can be carried forward indefinitely,B,"A capital loss realized on the sale of shares can only be used to offset capital gains (output_chunk_2.pdf, doc3).  "
348,Under which section can a taxpayer claim a capital cost allowance (CCA)?,Section 18,Section 19,Section 20,Section 21,C,"Section 20 of the Income Tax Act allows a taxpayer to claim a capital cost allowance (CCA) (output_chunk_1.pdf, doc3).  "
349,"Which section of the Income Tax Act defines ""income from a source""?",Section 4,Section 5,Section 6,Section 7,A,"Section 4 of the Income Tax Act defines ""income from a source"" (output_chunk_1.pdf, doc3).  "
350,"What section of the Income Tax Act defines ""income from a source""?",Section 3,Section 4,Section 5,Section 6,B,"Section 4 of the Income Tax Act defines ""income from a source"" (output_chunk_1.pdf, doc1).  "
351,Which section of the Income Tax Act addresses the taxation of non-resident shareholders?,Section 91,Section 92,Section 93,Section 94,D,"Section 94 of the Income Tax Act deals with the taxation of non-resident shareholders (output_chunk_2.pdf, doc3).  "
353,Which section specifies the rules for the deduction of business expenses?,Section 8,Section 9,Section 10,Section 11,B,"Section 9 of the Income Tax Act specifies the rules for the deduction of business expenses (output_chunk_1.pdf, doc5).  "
355,Which section deals with the capital cost allowance (CCA)?,Section 18,Section 19,Section 20,Section 21,C,"Section 20 of the Income Tax Act deals with the capital cost allowance (CCA) (output_chunk_1.pdf, doc5).  "
360,Which section of the Income Tax Act provides for the election to defer tax on stock option benefits?,Section 180,Section 180.01,Section 180.1,Section 180.2,B,"Section 180.01 of the Income Tax Act provides for the election to defer tax on stock option benefits (output_chunk_1.pdf, doc1).  "
361,What is the tax treatment of old age security benefits under Part I.2 of the Income Tax Act?,Fully taxable,Exempt from tax,50% taxable,Subject to a clawback,A,"Old age security benefits under Part I.2 are fully taxable (output_chunk_1.pdf, doc1).  "
362,"Which section defines ""taxable capital employed in Canada"" for large corporations?",Section 181,Section 181.1,Section 181.2,Section 181.3,C,"Section 181.2 of the Income Tax Act defines ""taxable capital employed in Canada"" for large corporations (output_chunk_1.pdf, doc1).  "
365,What section deals with the inclusion of amounts in income from office or employment?,Section 5,Section 6,Section 7,Section 8,B,"Section 6 of the Income Tax Act deals with the inclusion of amounts in income from office or employment (output_chunk_1.pdf, doc2).  "
370,Under which section of the Income Tax Act can a taxpayer claim a capital cost allowance (CCA)?,Section 18,Section 19,Section 20,Section 21,C,"Section 20 of the Income Tax Act allows a taxpayer to claim a capital cost allowance (output_chunk_1.pdf, doc1).  "
371,Which section specifies the taxation of non-resident shareholders?,Section 91,Section 92,Section 93,Section 94,D,"Section 94 of the Income Tax Act deals with the taxation of non-resident shareholders (output_chunk_2.pdf, doc5).  "
372,What section of the Income Tax Act addresses the inclusion of amounts in income from office or employment?,Section 5,Section 6,Section 7,Section 8,B,"Section 6 of the Income Tax Act specifies the inclusion of amounts in income from office or employment (output_chunk_1.pdf, doc4).  "
374,"Which section defines ""income from a source""?",Section 3,Section 4,Section 5,Section 6,B,"Section 4 of the Income Tax Act defines ""income from a source"" (output_chunk_1.pdf, doc4).  "
390,Which section of the Income Tax Act specifies the rules for determining the residency of individuals for tax purposes?,Section 250,Section 150,Section 230,Section 180,A,Section 250 of the Income Tax Act specifies the rules for determining the residency of individuals for tax purposes.  
391,What section deals with the inclusion of certain benefits in an employee's income?,Section 5,Section 6,Section 7,Section 8,B,Section 6 of the Income Tax Act deals with the inclusion of certain benefits in an employee's income.  
392,Under which section can a taxpayer claim a deduction for moving expenses?,Section 62,Section 63,Section 64,Section 65,A,Section 62 of the Income Tax Act allows a taxpayer to claim a deduction for moving expenses.  
393,Which section deals with the general anti-avoidance rule (GAAR)?,Section 245,Section 250,Section 255,Section 260,A,Section 245 of the Income Tax Act deals with the general anti-avoidance rule (GAAR).  
394,Which section specifies the rules for the taxation of capital gains?,Section 38,Section 39,Section 40,Section 41,C,Section 40 of the Income Tax Act specifies the rules for the taxation of capital gains.  
395,What section addresses the treatment of charitable donations for tax purposes?,Section 118.1,Section 119,Section 120,Section 121,A,Section 118.1 of the Income Tax Act addresses the treatment of charitable donations for tax purposes.  
396,Under which section can a business claim a deduction for scientific research and experimental development (SR&ED) expenditures?,Section 37,Section 38,Section 39,Section 40,A,Section 37 of the Income Tax Act allows a business to claim a deduction for scientific research and experimental development (SR&ED) expenditures.  
397,Which section covers the rules for the taxation of dividends received by individuals?,Section 82,Section 83,Section 84,Section 85,B,Section 83 of the Income Tax Act covers the rules for the taxation of dividends received by individuals.  
398,What section specifies the rules for the computation of taxable income?,Section 2,Section 3,Section 4,Section 5,B,Section 3 of the Income Tax Act specifies the rules for the computation of taxable income.  
399,Which section deals with the tax treatment of RRSPs (Registered Retirement Savings Plans)?,Section 146,Section 147,Section 148,Section 149,A,Section 146 of the Income Tax Act deals with the tax treatment of RRSPs (Registered Retirement Savings Plans).  
400,What section addresses the inclusion of partnership income in a partner's income?,Section 96,Section 97,Section 98,Section 99,A,Section 96 of the Income Tax Act addresses the inclusion of partnership income in a partner's income.  
401,Under which section can a taxpayer claim a deduction for child care expenses?,Section 63,Section 64,Section 65,Section 66,A,Section 63 of the Income Tax Act allows a taxpayer to claim a deduction for child care expenses.  
402,Which section specifies the rules for filing income tax returns?,Section 150,Section 151,Section 152,Section 153,A,Section 150 of the Income Tax Act specifies the rules for filing income tax returns.  
403,What section deals with the tax treatment of employee stock options?,Section 7,Section 8,Section 9,Section 10,A,Section 7 of the Income Tax Act deals with the tax treatment of employee stock options.  
404,Which section of the Income Tax Act addresses the tax payable by persons resident in Canada?,Section 2,Section 3,Section 4,Section 5,A,Section 2 of the Income Tax Act addresses the tax payable by persons resident in Canada  ^1^ .  
405,"What section defines ""income for taxation year""?",Section 2,Section 3,Section 4,Section 5,B,"Section 3 of the Income Tax Act defines ""income for taxation year""  ^1^ .  "
406,Which section discusses income or loss from a source in a place?,Section 2,Section 3,Section 4,Section 5,C,Section 4 of the Income Tax Act discusses income or loss from a source in a place  ^1^ .  
407,Under which section is income from office or employment defined?,Section 5,Section 6,Section 7,Section 8,A,Section 5 of the Income Tax Act defines income from office or employment  ^1^ .  
408,What section specifies the amounts to be included as income from office or employment?,Section 5,Section 6,Section 7,Section 8,B,Section 6 of the Income Tax Act specifies the amounts to be included as income from office or employment  ^1^ .  
409,Which section covers agreements to issue securities to employees?,Section 5,Section 6,Section 7,Section 8,C,Section 7 of the Income Tax Act covers agreements to issue securities to employees  ^1^ .  
410,What section of the Income Tax Act deals with the registration of pension plans?,Section 147,Section 148,Section 149,Section 150,A,Section 147 of the Income Tax Act deals with the registration of pension plans .  
411,Which section addresses the tax treatment of deferred income plans?,Section 146,Section 147,Section 148,Section 149,C,Section 148 of the Income Tax Act addresses the tax treatment of deferred income plans .  
412,Under which section can a taxpayer claim a deduction for RRSP contributions?,Section 60,Section 61,Section 62,Section 63,A,Section 60 of the Income Tax Act allows a taxpayer to claim a deduction for RRSP contributions .  
413,Which section deals with the taxation of large corporations?,Section 181,Section 181.1,Section 181.2,Section 181.3,A,Section 181 of the Income Tax Act deals with the taxation of large corporations  ^2^ .  
414,What section specifies the tax payable by large corporations?,Section 181,Section 181.1,Section 181.2,Section 181.3,B,Section 181.1 of the Income Tax Act specifies the tax payable by large corporations  ^2^ .  
415,Under which section is taxable capital employed in Canada defined?,Section 181,Section 181.1,Section 181.2,Section 181.3,C,Section 181.2 of the Income Tax Act defines taxable capital employed in Canada  ^2^ .  
416,Which section provides the definitions for the tax on large corporations?,Section 181,Section 181.1,Section 181.2,Section 181.3,A,Section 181 of the Income Tax Act provides the definitions for the tax on large corporations  ^2^ .  
417,Which section of the Income Tax Act deals with appeals to the Federal Court of Appeal?,Section 170,Section 171,Section 180,Section 181,C,Section 180 of the Income Tax Act deals with appeals to the Federal Court of Appeal  ^2^ .  
418,Which section of the Income Tax Act specifies the rules for the computation of income for shareholders of corporations not resident in Canada?,Section 93,Section 94,Section 95,Section 96,B,Section 94 of the Income Tax Act specifies the rules for the computation of income for shareholders of corporations not resident in Canada  ^1^ .  
419,What section addresses the disposal of appeals?,Section 170,Section 171,Section 172,Section 173,B,Section 171 of the Income Tax Act addresses the disposal of appeals  ^2^ .  
420,Under which section can a taxpayer appeal a refusal to register or revocation of registration?,Section 170,Section 171,Section 172,Section 173,C,Section 172 of the Income Tax Act allows a taxpayer to appeal a refusal to register or revocation of registration  ^2^ .  
421,Which section deals with hearings in camera for appeals?,Section 179,Section 179.1,Section 180,Section 181,A,Section 179 of the Income Tax Act deals with hearings in camera for appeals  ^2^ .  
422,What section provides definitions for the tax on large corporations?,Section 180,Section 181,Section 182,Section 183,B,Section 181 of the Income Tax Act provides definitions for the tax on large corporations  ^2^ .  
